"TIME","GEO","PROJECTION","INDIC_DE","Value","Flag and Footnotes"
"2020","Luxembourg","Baseline projections","Proportion of population aged 0-14 years","15.9",""
"2020","Luxembourg","Baseline projections","Proportion of population aged 15-64 years","69.5",""
"2020","Luxembourg","Baseline projections","Proportion of population aged 65 years and more","14.6",""
"2020","Hungary","Baseline projections","Median age of population","43.3",""
"2020","Hungary","Baseline projections","Proportion of population aged 0-14 years","14.6",""
"2020","Hungary","Baseline projections","Proportion of population aged 15-64 years","65.5",""
"2020","Hungary","Baseline projections","Proportion of population aged 65 years and more","19.9",""
"2020","Malta","Baseline projections","Median age of population","40.1",""
"2020","Malta","Baseline projections","Proportion of population aged 0-14 years","13.7",""
"2020","Malta","Baseline projections","Proportion of population aged 15-64 years","67.5",""
"2020","Malta","Baseline projections","Proportion of population aged 65 years and more","18.8",""
"2020","Netherlands","Baseline projections","Median age of population","42.7",""
"2020","Netherlands","Baseline projections","Proportion of population aged 0-14 years","15.7",""
"2020","Netherlands","Baseline projections","Proportion of population aged 15-64 years","64.8",""
"2020","Netherlands","Baseline projections","Proportion of population aged 65 years and more","19.5",""
"2020","Austria","Baseline projections","Median age of population","43.4",""
"2020","Austria","Baseline projections","Proportion of population aged 0-14 years","14.4",""
"2020","Austria","Baseline projections","Proportion of population aged 15-64 years","66.6",""
"2020","Austria","Baseline projections","Proportion of population aged 65 years and more","19.0",""
"2020","Poland","Baseline projections","Median age of population","41.3",""
"2020","Poland","Baseline projections","Proportion of population aged 0-14 years","15.4",""
"2020","Poland","Baseline projections","Proportion of population aged 15-64 years","66.4",""
"2020","Poland","Baseline projections","Proportion of population aged 65 years and more","18.2",""
"2020","Portugal","Baseline projections","Median age of population","45.5",""
"2020","Portugal","Baseline projections","Proportion of population aged 0-14 years","13.6",""
"2020","Portugal","Baseline projections","Proportion of population aged 15-64 years","64.3",""
"2020","Portugal","Baseline projections","Proportion of population aged 65 years and more","22.2",""
"2020","Romania","Baseline projections","Median age of population","42.8",""
"2020","Romania","Baseline projections","Proportion of population aged 0-14 years","15.7",""
"2020","Romania","Baseline projections","Proportion of population aged 15-64 years","65.4",""
"2020","Romania","Baseline projections","Proportion of population aged 65 years and more","19.0",""
"2020","Slovenia","Baseline projections","Median age of population","44.2",""
"2020","Slovenia","Baseline projections","Proportion of population aged 0-14 years","15.1",""
"2020","Slovenia","Baseline projections","Proportion of population aged 15-64 years","64.6",""
"2020","Slovenia","Baseline projections","Proportion of population aged 65 years and more","20.2",""
"2020","Slovakia","Baseline projections","Median age of population","41.0",""
"2020","Slovakia","Baseline projections","Proportion of population aged 0-14 years","15.8",""
"2020","Slovakia","Baseline projections","Proportion of population aged 15-64 years","67.6",""
"2020","Slovakia","Baseline projections","Proportion of population aged 65 years and more","16.6",""
"2020","Finland","Baseline projections","Median age of population","43.1",""
"2020","Finland","Baseline projections","Proportion of population aged 0-14 years","15.8",""
"2020","Finland","Baseline projections","Proportion of population aged 15-64 years","62.0",""
"2020","Finland","Baseline projections","Proportion of population aged 65 years and more","22.3",""
"2020","Sweden","Baseline projections","Median age of population","40.5",""
"2020","Sweden","Baseline projections","Proportion of population aged 0-14 years","17.8",""
"2020","Sweden","Baseline projections","Proportion of population aged 15-64 years","62.2",""
"2020","Sweden","Baseline projections","Proportion of population aged 65 years and more","20.0",""
"2020","Iceland","Baseline projections","Median age of population","36.5",""
"2020","Iceland","Baseline projections","Proportion of population aged 0-14 years","18.7",""
"2020","Iceland","Baseline projections","Proportion of population aged 15-64 years","66.9",""
"2020","Iceland","Baseline projections","Proportion of population aged 65 years and more","14.4",""
"2020","Liechtenstein","Baseline projections","Median age of population","44.5",""
"2020","Liechtenstein","Baseline projections","Proportion of population aged 0-14 years","14.6",""
"2020","Liechtenstein","Baseline projections","Proportion of population aged 15-64 years","67.0",""
"2020","Liechtenstein","Baseline projections","Proportion of population aged 65 years and more","18.4",""
"2020","Norway","Baseline projections","Median age of population","39.9",""
"2020","Norway","Baseline projections","Proportion of population aged 0-14 years","17.4",""
"2020","Norway","Baseline projections","Proportion of population aged 15-64 years","65.1",""
"2020","Norway","Baseline projections","Proportion of population aged 65 years and more","17.5",""
"2020","Switzerland","Baseline projections","Median age of population","42.7",""
"2020","Switzerland","Baseline projections","Proportion of population aged 0-14 years","15.0",""
"2020","Switzerland","Baseline projections","Proportion of population aged 15-64 years","66.2",""
"2020","Switzerland","Baseline projections","Proportion of population aged 65 years and more","18.7",""
"2025","European Union - 27 countries (from 2020)","Baseline projections","Median age of population","45.1",""
"2025","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 0-14 years","14.6",""
"2025","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 15-64 years","63.2",""
"2025","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 65 years and more","22.3",""
"2025","Belgium","Baseline projections","Median age of population","42.6",""
"2025","Belgium","Baseline projections","Proportion of population aged 0-14 years","16.1",""
"2025","Belgium","Baseline projections","Proportion of population aged 15-64 years","63.2",""
"2025","Belgium","Baseline projections","Proportion of population aged 65 years and more","20.7",""
"2025","Bulgaria","Baseline projections","Median age of population","46.3",""
"2025","Bulgaria","Baseline projections","Proportion of population aged 0-14 years","14.2",""
"2025","Bulgaria","Baseline projections","Proportion of population aged 15-64 years","62.8",""
"2025","Bulgaria","Baseline projections","Proportion of population aged 65 years and more","23.0",""
"2025","Czechia","Baseline projections","Median age of population","44.5",""
"2025","Czechia","Baseline projections","Proportion of population aged 0-14 years","15.8",""
"2025","Czechia","Baseline projections","Proportion of population aged 15-64 years","63.1",""
"2025","Czechia","Baseline projections","Proportion of population aged 65 years and more","21.1",""
"2025","Denmark","Baseline projections","Median age of population","42.7",""
"2025","Denmark","Baseline projections","Proportion of population aged 0-14 years","16.1",""
"2025","Denmark","Baseline projections","Proportion of population aged 15-64 years","62.6",""
"2025","Denmark","Baseline projections","Proportion of population aged 65 years and more","21.3",""
"2025","Germany (until 1990 former territory of the FRG)","Baseline projections","Median age of population","45.8",""
"2025","Germany (until 1990 former territory of the FRG)","Baseline projections","Proportion of population aged 0-14 years","14.1",""
"2025","Germany (until 1990 former territory of the FRG)","Baseline projections","Proportion of population aged 15-64 years","62.7",""
"2025","Germany (until 1990 former territory of the FRG)","Baseline projections","Proportion of population aged 65 years and more","23.1",""
"2025","Estonia","Baseline projections","Median age of population","43.5",""
"2025","Estonia","Baseline projections","Proportion of population aged 0-14 years","15.4",""
"2025","Estonia","Baseline projections","Proportion of population aged 15-64 years","62.9",""
"2025","Estonia","Baseline projections","Proportion of population aged 65 years and more","21.7",""
"2025","Ireland","Baseline projections","Median age of population","39.4",""
"2025","Ireland","Baseline projections","Proportion of population aged 0-14 years","18.6",""
"2025","Ireland","Baseline projections","Proportion of population aged 15-64 years","65.5",""
"2025","Ireland","Baseline projections","Proportion of population aged 65 years and more","15.9",""
"2025","Greece","Baseline projections","Median age of population","46.9",""
"2025","Greece","Baseline projections","Proportion of population aged 0-14 years","13.3",""
"2025","Greece","Baseline projections","Proportion of population aged 15-64 years","62.7",""
"2025","Greece","Baseline projections","Proportion of population aged 65 years and more","24.0",""
"2025","Spain","Baseline projections","Median age of population","46.2",""
"2025","Spain","Baseline projections","Proportion of population aged 0-14 years","13.2",""
"2025","Spain","Baseline projections","Proportion of population aged 15-64 years","65.4",""
"2025","Spain","Baseline projections","Proportion of population aged 65 years and more","21.4",""
"2025","France","Baseline projections","Median age of population","43.1",""
"2025","France","Baseline projections","Proportion of population aged 0-14 years","17.1",""
"2025","France","Baseline projections","Proportion of population aged 15-64 years","60.7",""
"2025","France","Baseline projections","Proportion of population aged 65 years and more","22.2",""
"2025","Croatia","Baseline projections","Median age of population","45.5",""
"2025","Croatia","Baseline projections","Proportion of population aged 0-14 years","13.7",""
"2025","Croatia","Baseline projections","Proportion of population aged 15-64 years","63.1",""
"2025","Croatia","Baseline projections","Proportion of population aged 65 years and more","23.2",""
"2025","Italy","Baseline projections","Median age of population","48.8",""
"2025","Italy","Baseline projections","Proportion of population aged 0-14 years","12.0",""
"2025","Italy","Baseline projections","Proportion of population aged 15-64 years","63.3",""
"2025","Italy","Baseline projections","Proportion of population aged 65 years and more","24.7",""
"2025","Cyprus","Baseline projections","Median age of population","38.6",""
"2025","Cyprus","Baseline projections","Proportion of population aged 0-14 years","15.8",""
"2025","Cyprus","Baseline projections","Proportion of population aged 15-64 years","66.2",""
"2025","Cyprus","Baseline projections","Proportion of population aged 65 years and more","18.0",""
"2025","Latvia","Baseline projections","Median age of population","44.9",""
"2025","Latvia","Baseline projections","Proportion of population aged 0-14 years","15.5",""
"2025","Latvia","Baseline projections","Proportion of population aged 15-64 years","61.9",""
"2025","Latvia","Baseline projections","Proportion of population aged 65 years and more","22.5",""
"2025","Lithuania","Baseline projections","Median age of population","45.2",""
"2025","Lithuania","Baseline projections","Proportion of population aged 0-14 years","15.2",""
"2025","Lithuania","Baseline projections","Proportion of population aged 15-64 years","62.9",""
"2025","Lithuania","Baseline projections","Proportion of population aged 65 years and more","21.9",""
"2025","Luxembourg","Baseline projections","Median age of population","41.0",""
"2025","Luxembourg","Baseline projections","Proportion of population aged 0-14 years","15.3",""
"2025","Luxembourg","Baseline projections","Proportion of population aged 15-64 years","68.7",""
"2025","Luxembourg","Baseline projections","Proportion of population aged 65 years and more","16.0",""
"2025","Hungary","Baseline projections","Median age of population","44.7",""
"2025","Hungary","Baseline projections","Proportion of population aged 0-14 years","14.3",""
"2025","Hungary","Baseline projections","Proportion of population aged 15-64 years","64.4",""
"2025","Hungary","Baseline projections","Proportion of population aged 65 years and more","21.3",""
"2025","Malta","Baseline projections","Median age of population","41.2",""
"2025","Malta","Baseline projections","Proportion of population aged 0-14 years","13.7",""
"2025","Malta","Baseline projections","Proportion of population aged 15-64 years","66.4",""
"2025","Malta","Baseline projections","Proportion of population aged 65 years and more","19.9",""
"2025","Netherlands","Baseline projections","Median age of population","43.1",""
"2025","Netherlands","Baseline projections","Proportion of population aged 0-14 years","15.2",""
"2025","Netherlands","Baseline projections","Proportion of population aged 15-64 years","63.4",""
"2025","Netherlands","Baseline projections","Proportion of population aged 65 years and more","21.4",""
"2025","Austria","Baseline projections","Median age of population","44.0",""
"2025","Austria","Baseline projections","Proportion of population aged 0-14 years","14.5",""
"2025","Austria","Baseline projections","Proportion of population aged 15-64 years","64.9",""
"2025","Austria","Baseline projections","Proportion of population aged 65 years and more","20.6",""
"2025","Poland","Baseline projections","Median age of population","43.3",""
"2025","Poland","Baseline projections","Proportion of population aged 0-14 years","14.6",""
"2025","Poland","Baseline projections","Proportion of population aged 15-64 years","64.3",""
"2025","Poland","Baseline projections","Proportion of population aged 65 years and more","21.1",""
"2025","Portugal","Baseline projections","Median age of population","47.4",""
"2025","Portugal","Baseline projections","Proportion of population aged 0-14 years","13.0",""
"2025","Portugal","Baseline projections","Proportion of population aged 15-64 years","62.9",""
"2025","Portugal","Baseline projections","Proportion of population aged 65 years and more","24.0",""
"2025","Romania","Baseline projections","Median age of population","44.8",""
"2025","Romania","Baseline projections","Proportion of population aged 0-14 years","14.8",""
"2025","Romania","Baseline projections","Proportion of population aged 15-64 years","64.1",""
"2025","Romania","Baseline projections","Proportion of population aged 65 years and more","21.1",""
"2025","Slovenia","Baseline projections","Median age of population","45.7",""
"2025","Slovenia","Baseline projections","Proportion of population aged 0-14 years","14.4",""
"2025","Slovenia","Baseline projections","Proportion of population aged 15-64 years","63.2",""
"2025","Slovenia","Baseline projections","Proportion of population aged 65 years and more","22.3",""
"2025","Slovakia","Baseline projections","Median age of population","43.0",""
"2025","Slovakia","Baseline projections","Proportion of population aged 0-14 years","15.7",""
"2025","Slovakia","Baseline projections","Proportion of population aged 15-64 years","65.4",""
"2025","Slovakia","Baseline projections","Proportion of population aged 65 years and more","19.0",""
"2025","Finland","Baseline projections","Median age of population","44.1",""
"2025","Finland","Baseline projections","Proportion of population aged 0-14 years","14.5",""
"2025","Finland","Baseline projections","Proportion of population aged 15-64 years","61.4",""
"2025","Finland","Baseline projections","Proportion of population aged 65 years and more","24.1",""
"2025","Sweden","Baseline projections","Median age of population","40.7",""
"2025","Sweden","Baseline projections","Proportion of population aged 0-14 years","17.4",""
"2025","Sweden","Baseline projections","Proportion of population aged 15-64 years","62.0",""
"2025","Sweden","Baseline projections","Proportion of population aged 65 years and more","20.6",""
"2025","Iceland","Baseline projections","Median age of population","37.4",""
"2025","Iceland","Baseline projections","Proportion of population aged 0-14 years","17.8",""
"2025","Iceland","Baseline projections","Proportion of population aged 15-64 years","66.3",""
"2025","Iceland","Baseline projections","Proportion of population aged 65 years and more","15.8",""
"2025","Liechtenstein","Baseline projections","Median age of population","45.8",""
"2025","Liechtenstein","Baseline projections","Proportion of population aged 0-14 years","14.2",""
"2025","Liechtenstein","Baseline projections","Proportion of population aged 15-64 years","64.6",""
"2025","Liechtenstein","Baseline projections","Proportion of population aged 65 years and more","21.2",""
"2025","Norway","Baseline projections","Median age of population","40.7",""
"2025","Norway","Baseline projections","Proportion of population aged 0-14 years","16.3",""
"2025","Norway","Baseline projections","Proportion of population aged 15-64 years","64.6",""
"2025","Norway","Baseline projections","Proportion of population aged 65 years and more","19.0",""
"2025","Switzerland","Baseline projections","Median age of population","43.7",""
"2025","Switzerland","Baseline projections","Proportion of population aged 0-14 years","14.9",""
"2025","Switzerland","Baseline projections","Proportion of population aged 15-64 years","64.8",""
"2025","Switzerland","Baseline projections","Proportion of population aged 65 years and more","20.3",""
"2030","European Union - 27 countries (from 2020)","Baseline projections","Median age of population","46.1",""
"2030","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 0-14 years","14.0",""
"2030","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 15-64 years","61.8",""
"2030","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 65 years and more","24.2",""
"2030","Belgium","Baseline projections","Median age of population","43.3",""
"2030","Belgium","Baseline projections","Proportion of population aged 0-14 years","15.3",""
"2030","Belgium","Baseline projections","Proportion of population aged 15-64 years","62.1",""
"2030","Belgium","Baseline projections","Proportion of population aged 65 years and more","22.6",""
"2030","Bulgaria","Baseline projections","Median age of population","47.6",""
"2030","Bulgaria","Baseline projections","Proportion of population aged 0-14 years","13.5",""
"2030","Bulgaria","Baseline projections","Proportion of population aged 15-64 years","62.2",""
"2030","Bulgaria","Baseline projections","Proportion of population aged 65 years and more","24.3",""
"2030","Czechia","Baseline projections","Median age of population","45.6",""
"2030","Czechia","Baseline projections","Proportion of population aged 0-14 years","15.3",""
"2030","Czechia","Baseline projections","Proportion of population aged 15-64 years","62.7",""
"2030","Czechia","Baseline projections","Proportion of population aged 65 years and more","22.0",""
"2030","Denmark","Baseline projections","Median age of population","42.9",""
"2030","Denmark","Baseline projections","Proportion of population aged 0-14 years","16.3",""
"2030","Denmark","Baseline projections","Proportion of population aged 15-64 years","61.0",""
"2030","Denmark","Baseline projections","Proportion of population aged 65 years and more","22.8",""
"2030","Germany (until 1990 former territory of the FRG)","Baseline projections","Median age of population","46.1",""
"2030","Germany (until 1990 former territory of the FRG)","Baseline projections","Proportion of population aged 0-14 years","14.3",""
"2030","Germany (until 1990 former territory of the FRG)","Baseline projections","Proportion of population aged 15-64 years","60.3",""
"2030","Germany (until 1990 former territory of the FRG)","Baseline projections","Proportion of population aged 65 years and more","25.4",""
"2030","Estonia","Baseline projections","Median age of population","45.0",""
"2030","Estonia","Baseline projections","Proportion of population aged 0-14 years","14.4",""
"2030","Estonia","Baseline projections","Proportion of population aged 15-64 years","62.4",""
"2030","Estonia","Baseline projections","Proportion of population aged 65 years and more","23.2",""
"2030","Ireland","Baseline projections","Median age of population","40.5",""
"2030","Ireland","Baseline projections","Proportion of population aged 0-14 years","17.2",""
"2030","Ireland","Baseline projections","Proportion of population aged 15-64 years","65.2",""
"2030","Ireland","Baseline projections","Proportion of population aged 65 years and more","17.6",""
"2030","Greece","Baseline projections","Median age of population","48.6",""
"2030","Greece","Baseline projections","Proportion of population aged 0-14 years","12.5",""
"2030","Greece","Baseline projections","Proportion of population aged 15-64 years","61.7",""
"2030","Greece","Baseline projections","Proportion of population aged 65 years and more","25.8",""
"2030","Spain","Baseline projections","Median age of population","48.0",""
"2030","Spain","Baseline projections","Proportion of population aged 0-14 years","12.2",""
"2030","Spain","Baseline projections","Proportion of population aged 15-64 years","64.0",""
"2030","Spain","Baseline projections","Proportion of population aged 65 years and more","23.8",""
"2030","France","Baseline projections","Median age of population","44.0",""
"2030","France","Baseline projections","Proportion of population aged 0-14 years","16.4",""
"2030","France","Baseline projections","Proportion of population aged 15-64 years","59.8",""
"2030","France","Baseline projections","Proportion of population aged 65 years and more","23.9",""
"2030","Croatia","Baseline projections","Median age of population","46.8",""
"2030","Croatia","Baseline projections","Proportion of population aged 0-14 years","13.1",""
"2030","Croatia","Baseline projections","Proportion of population aged 15-64 years","61.8",""
"2030","Croatia","Baseline projections","Proportion of population aged 65 years and more","25.1",""
"2030","Italy","Baseline projections","Median age of population","50.0",""
"2030","Italy","Baseline projections","Proportion of population aged 0-14 years","11.3",""
"2030","Italy","Baseline projections","Proportion of population aged 15-64 years","61.6",""
"2030","Italy","Baseline projections","Proportion of population aged 65 years and more","27.0",""
"2030","Cyprus","Baseline projections","Median age of population","39.7",""
"2030","Cyprus","Baseline projections","Proportion of population aged 0-14 years","15.7",""
"2030","Cyprus","Baseline projections","Proportion of population aged 15-64 years","64.8",""
"2030","Cyprus","Baseline projections","Proportion of population aged 65 years and more","19.5",""
"2030","Latvia","Baseline projections","Median age of population","46.5",""
"2030","Latvia","Baseline projections","Proportion of population aged 0-14 years","14.8",""
"2030","Latvia","Baseline projections","Proportion of population aged 15-64 years","60.4",""
"2030","Latvia","Baseline projections","Proportion of population aged 65 years and more","24.9",""
"2030","Lithuania","Baseline projections","Median age of population","46.5",""
"2030","Lithuania","Baseline projections","Proportion of population aged 0-14 years","14.5",""
"2030","Lithuania","Baseline projections","Proportion of population aged 15-64 years","60.6",""
"2030","Lithuania","Baseline projections","Proportion of population aged 65 years and more","24.9",""
"2030","Luxembourg","Baseline projections","Median age of population","42.4",""
"2030","Luxembourg","Baseline projections","Proportion of population aged 0-14 years","14.7",""
"2030","Luxembourg","Baseline projections","Proportion of population aged 15-64 years","67.3",""
"2030","Luxembourg","Baseline projections","Proportion of population aged 65 years and more","18.1",""
"2030","Hungary","Baseline projections","Median age of population","45.6",""
"2030","Hungary","Baseline projections","Proportion of population aged 0-14 years","14.3",""
"2030","Hungary","Baseline projections","Proportion of population aged 15-64 years","64.1",""
"2030","Hungary","Baseline projections","Proportion of population aged 65 years and more","21.6",""
"2030","Malta","Baseline projections","Median age of population","42.8",""
"2030","Malta","Baseline projections","Proportion of population aged 0-14 years","13.3",""
"2030","Malta","Baseline projections","Proportion of population aged 15-64 years","65.7",""
"2030","Malta","Baseline projections","Proportion of population aged 65 years and more","21.0",""
"2030","Netherlands","Baseline projections","Median age of population","43.6",""
"2030","Netherlands","Baseline projections","Proportion of population aged 0-14 years","15.1",""
"2030","Netherlands","Baseline projections","Proportion of population aged 15-64 years","61.4",""
"2030","Netherlands","Baseline projections","Proportion of population aged 65 years and more","23.5",""
"2030","Austria","Baseline projections","Median age of population","44.9",""
"2030","Austria","Baseline projections","Proportion of population aged 0-14 years","14.3",""
"2030","Austria","Baseline projections","Proportion of population aged 15-64 years","62.8",""
"2030","Austria","Baseline projections","Proportion of population aged 65 years and more","23.0",""
"2030","Poland","Baseline projections","Median age of population","45.5",""
"2030","Poland","Baseline projections","Proportion of population aged 0-14 years","13.5",""
"2030","Poland","Baseline projections","Proportion of population aged 15-64 years","63.8",""
"2030","Poland","Baseline projections","Proportion of population aged 65 years and more","22.7",""
"2030","Portugal","Baseline projections","Median age of population","49.0",""
"2030","Portugal","Baseline projections","Proportion of population aged 0-14 years","12.9",""
"2030","Portugal","Baseline projections","Proportion of population aged 15-64 years","60.9",""
"2030","Portugal","Baseline projections","Proportion of population aged 65 years and more","26.2",""
"2030","Romania","Baseline projections","Median age of population","46.3",""
"2030","Romania","Baseline projections","Proportion of population aged 0-14 years","14.2",""
"2030","Romania","Baseline projections","Proportion of population aged 15-64 years","64.0",""
"2030","Romania","Baseline projections","Proportion of population aged 65 years and more","21.8",""
"2030","Slovenia","Baseline projections","Median age of population","47.3",""
"2030","Slovenia","Baseline projections","Proportion of population aged 0-14 years","13.3",""
"2030","Slovenia","Baseline projections","Proportion of population aged 15-64 years","62.3",""
"2030","Slovenia","Baseline projections","Proportion of population aged 65 years and more","24.4",""
"2030","Slovakia","Baseline projections","Median age of population","45.0",""
"2030","Slovakia","Baseline projections","Proportion of population aged 0-14 years","14.9",""
"2030","Slovakia","Baseline projections","Proportion of population aged 15-64 years","64.1",""
"2030","Slovakia","Baseline projections","Proportion of population aged 65 years and more","20.9",""
"2030","Finland","Baseline projections","Median age of population","45.3",""
"2030","Finland","Baseline projections","Proportion of population aged 0-14 years","13.2",""
"2030","Finland","Baseline projections","Proportion of population aged 15-64 years","61.0",""
"2030","Finland","Baseline projections","Proportion of population aged 65 years and more","25.8",""
"2030","Sweden","Baseline projections","Median age of population","41.4",""
"2030","Sweden","Baseline projections","Proportion of population aged 0-14 years","16.8",""
"2030","Sweden","Baseline projections","Proportion of population aged 15-64 years","61.9",""
"2030","Sweden","Baseline projections","Proportion of population aged 65 years and more","21.3",""
"2030","Iceland","Baseline projections","Median age of population","39.0",""
"2030","Iceland","Baseline projections","Proportion of population aged 0-14 years","17.3",""
"2030","Iceland","Baseline projections","Proportion of population aged 15-64 years","65.2",""
"2030","Iceland","Baseline projections","Proportion of population aged 65 years and more","17.4",""
"2030","Liechtenstein","Baseline projections","Median age of population","47.0",""
"2030","Liechtenstein","Baseline projections","Proportion of population aged 0-14 years","13.9",""
"2030","Liechtenstein","Baseline projections","Proportion of population aged 15-64 years","61.9",""
"2030","Liechtenstein","Baseline projections","Proportion of population aged 65 years and more","24.3",""
"2030","Norway","Baseline projections","Median age of population","41.6",""
"2030","Norway","Baseline projections","Proportion of population aged 0-14 years","15.6",""
"2030","Norway","Baseline projections","Proportion of population aged 15-64 years","64.0",""
"2030","Norway","Baseline projections","Proportion of population aged 65 years and more","20.4",""
"2030","Switzerland","Baseline projections","Median age of population","44.6",""
"2030","Switzerland","Baseline projections","Proportion of population aged 0-14 years","14.6",""
"2030","Switzerland","Baseline projections","Proportion of population aged 15-64 years","63.2",""
"2030","Switzerland","Baseline projections","Proportion of population aged 65 years and more","22.3",""
"2035","European Union - 27 countries (from 2020)","Baseline projections","Median age of population","47.0",""
"2035","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 0-14 years","13.6",""
"2035","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 15-64 years","60.3",""
"2035","European Union - 27 countries (from 2020)","Baseline projections","Proportion of population aged 65 years and more","26.1",""
"2035","Belgium","Baseline projections","Median age of population","44.1",""
"2035","Belgium","Baseline projections","Proportion of population aged 0-14 years","14.9",""
