"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2000","European Union - 27 countries (2007-2013)","Proportion of population aged 0-14 years","17.2","b"
"2000","European Union - 27 countries (2007-2013)","Proportion of population aged 15-24 years","13.2","b"
"2000","European Union - 27 countries (2007-2013)","Proportion of population aged 25-44 years","29.9","b"
"2000","European Union - 27 countries (2007-2013)","Proportion of population aged 45-64 years","24.1","b"
"2000","European Union - 27 countries (2007-2013)","Proportion of population aged 65 years and more","15.6","b"
"2000","Euro area - 19 countries  (from 2015)","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","48.6",""
"2000","Euro area - 19 countries  (from 2015)","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","79.8",""
"2000","Euro area - 19 countries  (from 2015)","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","63.6",""
"2000","Euro area - 19 countries  (from 2015)","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Euro area - 19 countries  (from 2015)","Proportion of population aged 0-14 years","16.5",""
"2000","Euro area - 19 countries  (from 2015)","Proportion of population aged 15-24 years","12.7",""
"2000","Euro area - 19 countries  (from 2015)","Proportion of population aged 25-44 years","30.4",""
"2000","Euro area - 19 countries  (from 2015)","Proportion of population aged 45-64 years","24.2",""
"2000","Euro area - 19 countries  (from 2015)","Proportion of population aged 65 years and more","16.2",""
"2000","Euro area - 18 countries (2014)","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","48.5",""
"2000","Euro area - 18 countries (2014)","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","79.6",""
"2000","Euro area - 18 countries (2014)","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","63.5",""
"2000","Euro area - 18 countries (2014)","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Euro area - 18 countries (2014)","Proportion of population aged 0-14 years","16.3",""
"2000","Euro area - 18 countries (2014)","Proportion of population aged 15-24 years","12.6",""
"2000","Euro area - 18 countries (2014)","Proportion of population aged 25-44 years","30.2",""
"2000","Euro area - 18 countries (2014)","Proportion of population aged 45-64 years","24.0",""
"2000","Euro area - 18 countries (2014)","Proportion of population aged 65 years and more","16.1",""
"2000","Belgium","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","52.4",""
"2000","Belgium","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","83.6",""
"2000","Belgium","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","67.7",""
"2000","Belgium","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Belgium","Proportion of population aged 0-14 years","17.6",""
"2000","Belgium","Proportion of population aged 15-24 years","12.1",""
"2000","Belgium","Proportion of population aged 25-44 years","29.8",""
"2000","Belgium","Proportion of population aged 45-64 years","23.7",""
"2000","Belgium","Proportion of population aged 65 years and more","16.8",""
"2000","Bulgaria","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","47.2",""
"2000","Bulgaria","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","80.1",""
"2000","Bulgaria","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","63.8",""
"2000","Bulgaria","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Bulgaria","Proportion of population aged 0-14 years","15.9",""
"2000","Bulgaria","Proportion of population aged 15-24 years","14.6",""
"2000","Bulgaria","Proportion of population aged 25-44 years","27.7",""
"2000","Bulgaria","Proportion of population aged 45-64 years","25.7",""
"2000","Bulgaria","Proportion of population aged 65 years and more","16.2",""
"2000","Czechia","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","43.7",""
"2000","Czechia","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","71.3",""
"2000","Czechia","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","59.3",""
"2000","Czechia","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Czechia","Proportion of population aged 0-14 years","16.6",""
"2000","Czechia","Proportion of population aged 15-24 years","15.5",""
"2000","Czechia","Proportion of population aged 25-44 years","28.2",""
"2000","Czechia","Proportion of population aged 45-64 years","26.0",""
"2000","Czechia","Proportion of population aged 65 years and more","13.8",""
"2000","Denmark","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","49.8",""
"2000","Denmark","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","76.7",""
"2000","Denmark","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","62.6",""
"2000","Denmark","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Denmark","Proportion of population aged 0-14 years","18.4",""
"2000","Denmark","Proportion of population aged 15-24 years","11.7",""
"2000","Denmark","Proportion of population aged 25-44 years","29.5",""
"2000","Denmark","Proportion of population aged 45-64 years","25.6",""
"2000","Denmark","Proportion of population aged 65 years and more","14.8",""
"2000","Germany (until 1990 former territory of the FRG)","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","46.9",""
"2000","Germany (until 1990 former territory of the FRG)","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","79.6",""
"2000","Germany (until 1990 former territory of the FRG)","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","60.2",""
"2000","Germany (until 1990 former territory of the FRG)","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Germany (until 1990 former territory of the FRG)","Proportion of population aged 0-14 years","15.7",""
"2000","Germany (until 1990 former territory of the FRG)","Proportion of population aged 15-24 years","11.1",""
"2000","Germany (until 1990 former territory of the FRG)","Proportion of population aged 25-44 years","31.1",""
"2000","Germany (until 1990 former territory of the FRG)","Proportion of population aged 45-64 years","25.8",""
"2000","Germany (until 1990 former territory of the FRG)","Proportion of population aged 65 years and more","16.2",""
"2000","Germany including former GDR","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","46.9",""
"2000","Germany including former GDR","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","79.6",""
"2000","Germany including former GDR","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","60.2",""
"2000","Germany including former GDR","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Germany including former GDR","Proportion of population aged 0-14 years","15.7",""
"2000","Germany including former GDR","Proportion of population aged 15-24 years","11.1",""
"2000","Germany including former GDR","Proportion of population aged 25-44 years","31.1",""
"2000","Germany including former GDR","Proportion of population aged 45-64 years","25.8",""
"2000","Germany including former GDR","Proportion of population aged 65 years and more","16.2",""
"2000","Estonia","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","48.6",""
"2000","Estonia","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","85.2",""
"2000","Estonia","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","66.7",""
"2000","Estonia","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Estonia","Proportion of population aged 0-14 years","17.9",""
"2000","Estonia","Proportion of population aged 15-24 years","14.3",""
"2000","Estonia","Proportion of population aged 25-44 years","28.3",""
"2000","Estonia","Proportion of population aged 45-64 years","24.7",""
"2000","Estonia","Proportion of population aged 65 years and more","14.9",""
"2000","Ireland","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","49.6",""
"2000","Ireland","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","84.8",""
"2000","Ireland","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","72.2",""
"2000","Ireland","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Ireland","Proportion of population aged 0-14 years","21.9",""
"2000","Ireland","Proportion of population aged 15-24 years","17.0",""
"2000","Ireland","Proportion of population aged 25-44 years","29.1",""
"2000","Ireland","Proportion of population aged 45-64 years","20.7",""
"2000","Ireland","Proportion of population aged 65 years and more","11.2",""
"2000","Greece","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","47.2",""
"2000","Greece","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","80.7",""
"2000","Greece","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","63.3",""
"2000","Greece","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Greece","Proportion of population aged 0-14 years","14.7",""
"2000","Greece","Proportion of population aged 15-24 years","14.4",""
"2000","Greece","Proportion of population aged 25-44 years","29.7",""
"2000","Greece","Proportion of population aged 45-64 years","23.8",""
"2000","Greece","Proportion of population aged 65 years and more","17.3",""
"2000","Spain","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","45.6",""
"2000","Spain","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","74.4",""
"2000","Spain","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","61.3",""
"2000","Spain","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Spain","Proportion of population aged 0-14 years","14.8",""
"2000","Spain","Proportion of population aged 15-24 years","15.0",""
"2000","Spain","Proportion of population aged 25-44 years","31.6",""
"2000","Spain","Proportion of population aged 45-64 years","22.1",""
"2000","Spain","Proportion of population aged 65 years and more","16.5",""
"2000","France","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","53.7",""
"2000","France","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","85.9",""
"2000","France","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","71.4",""
"2000","France","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","France","Proportion of population aged 0-14 years","19.1",""
"2000","France","Proportion of population aged 15-24 years","13.0",""
"2000","France","Proportion of population aged 25-44 years","29.0",""
"2000","France","Proportion of population aged 45-64 years","23.0",""
"2000","France","Proportion of population aged 65 years and more","15.8",""
"2000","France (metropolitan)","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","53.6",""
"2000","France (metropolitan)","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","85.9",""
"2000","France (metropolitan)","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","71.2",""
"2000","France (metropolitan)","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","France (metropolitan)","Proportion of population aged 0-14 years","18.9",""
"2000","France (metropolitan)","Proportion of population aged 15-24 years","13.0",""
"2000","France (metropolitan)","Proportion of population aged 25-44 years","28.9",""
"2000","France (metropolitan)","Proportion of population aged 45-64 years","23.2",""
"2000","France (metropolitan)","Proportion of population aged 65 years and more","16.0",""
"2000","Croatia","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)",":","e"
"2000","Croatia","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)",":","e"
"2000","Croatia","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)",":",""
"2000","Croatia","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Croatia","Proportion of population aged 0-14 years",":","e"
"2000","Croatia","Proportion of population aged 15-24 years",":","e"
"2000","Croatia","Proportion of population aged 25-44 years",":","e"
"2000","Croatia","Proportion of population aged 45-64 years",":","e"
"2000","Croatia","Proportion of population aged 65 years and more",":","e"
"2000","Italy","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","48.0",""
"2000","Italy","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","77.8",""
"2000","Italy","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","60.8",""
"2000","Italy","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Italy","Proportion of population aged 0-14 years","14.3",""
"2000","Italy","Proportion of population aged 15-24 years","11.9",""
"2000","Italy","Proportion of population aged 25-44 years","30.6",""
"2000","Italy","Proportion of population aged 45-64 years","25.1",""
"2000","Italy","Proportion of population aged 65 years and more","18.1",""
"2000","Cyprus","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","51.5",""
"2000","Cyprus","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","86.4",""
"2000","Cyprus","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","73.2",""
"2000","Cyprus","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Cyprus","Proportion of population aged 0-14 years","22.8",""
"2000","Cyprus","Proportion of population aged 15-24 years","15.5",""
"2000","Cyprus","Proportion of population aged 25-44 years","29.1",""
"2000","Cyprus","Proportion of population aged 45-64 years","21.4",""
"2000","Cyprus","Proportion of population aged 65 years and more","11.2",""
"2000","Latvia","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","48.8",""
"2000","Latvia","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","86.7",""
"2000","Latvia","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","67.5",""
"2000","Latvia","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Latvia","Proportion of population aged 0-14 years","18.0",""
"2000","Latvia","Proportion of population aged 15-24 years","14.3",""
"2000","Latvia","Proportion of population aged 25-44 years","28.4",""
"2000","Latvia","Proportion of population aged 45-64 years","24.5",""
"2000","Latvia","Proportion of population aged 65 years and more","14.8",""
"2000","Lithuania","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","51.4",""
"2000","Lithuania","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","87.5",""
"2000","Lithuania","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","70.6",""
"2000","Lithuania","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Lithuania","Proportion of population aged 0-14 years","20.2",""
"2000","Lithuania","Proportion of population aged 15-24 years","14.2",""
"2000","Lithuania","Proportion of population aged 25-44 years","29.6",""
"2000","Lithuania","Proportion of population aged 45-64 years","22.2",""
"2000","Lithuania","Proportion of population aged 65 years and more","13.7",""
"2000","Luxembourg","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","49.7",""
"2000","Luxembourg","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","77.1",""
"2000","Luxembourg","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","63.1",""
"2000","Luxembourg","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Luxembourg","Proportion of population aged 0-14 years","18.9",""
"2000","Luxembourg","Proportion of population aged 15-24 years","11.3",""
"2000","Luxembourg","Proportion of population aged 25-44 years","32.1",""
"2000","Luxembourg","Proportion of population aged 45-64 years","23.4",""
"2000","Luxembourg","Proportion of population aged 65 years and more","14.3",""
"2000","Hungary","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","46.8",""
"2000","Hungary","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","77.7",""
"2000","Hungary","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","62.8",""
"2000","Hungary","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Hungary","Proportion of population aged 0-14 years","16.9",""
"2000","Hungary","Proportion of population aged 15-24 years","14.9",""
"2000","Hungary","Proportion of population aged 25-44 years","27.5",""
"2000","Hungary","Proportion of population aged 45-64 years","25.7",""
"2000","Hungary","Proportion of population aged 65 years and more","15.0",""
"2000","Malta","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","48.1",""
"2000","Malta","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","81.0",""
"2000","Malta","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","66.8",""
"2000","Malta","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Malta","Proportion of population aged 0-14 years","20.4",""
"2000","Malta","Proportion of population aged 15-24 years","15.2",""
"2000","Malta","Proportion of population aged 25-44 years","27.4",""
"2000","Malta","Proportion of population aged 45-64 years","24.9",""
"2000","Malta","Proportion of population aged 65 years and more","12.1",""
"2000","Netherlands","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","47.4",""
"2000","Netherlands","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","74.0",""
"2000","Netherlands","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","61.2",""
"2000","Netherlands","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Netherlands","Proportion of population aged 0-14 years","18.6",""
"2000","Netherlands","Proportion of population aged 15-24 years","11.9",""
"2000","Netherlands","Proportion of population aged 25-44 years","31.6",""
"2000","Netherlands","Proportion of population aged 45-64 years","24.3",""
"2000","Netherlands","Proportion of population aged 65 years and more","13.6",""
"2000","Austria","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","48.3",""
"2000","Austria","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","77.1",""
"2000","Austria","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","62.9",""
"2000","Austria","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Austria","Proportion of population aged 0-14 years","17.1",""
"2000","Austria","Proportion of population aged 15-24 years","11.9",""
"2000","Austria","Proportion of population aged 25-44 years","31.9",""
"2000","Austria","Proportion of population aged 45-64 years","23.6",""
"2000","Austria","Proportion of population aged 65 years and more","15.4",""
"2000","Poland","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","47.0","b"
"2000","Poland","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","82.4","b"
"2000","Poland","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","68.5",""
"2000","Poland","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Poland","Proportion of population aged 0-14 years","19.8","b"
"2000","Poland","Proportion of population aged 15-24 years","16.8","b"
"2000","Poland","Proportion of population aged 25-44 years","28.4","b"
"2000","Poland","Proportion of population aged 45-64 years","22.9","b"
"2000","Poland","Proportion of population aged 65 years and more","12.1","b"
"2000","Portugal","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","48.2",""
"2000","Portugal","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","81.3",""
"2000","Portugal","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","65.0",""
"2000","Portugal","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Portugal","Proportion of population aged 0-14 years","16.5",""
"2000","Portugal","Proportion of population aged 15-24 years","14.7",""
"2000","Portugal","Proportion of population aged 25-44 years","29.4",""
"2000","Portugal","Proportion of population aged 45-64 years","23.4",""
"2000","Portugal","Proportion of population aged 65 years and more","16.0",""
"2000","Romania","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","46.4",""
"2000","Romania","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","80.9",""
"2000","Romania","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","64.5",""
"2000","Romania","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Romania","Proportion of population aged 0-14 years","18.5",""
"2000","Romania","Proportion of population aged 15-24 years","16.2",""
"2000","Romania","Proportion of population aged 25-44 years","29.0",""
"2000","Romania","Proportion of population aged 45-64 years","23.0",""
"2000","Romania","Proportion of population aged 65 years and more","13.2",""
"2000","Slovenia","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","42.8",""
"2000","Slovenia","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","73.1",""
"2000","Slovenia","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","58.9",""
"2000","Slovenia","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Slovenia","Proportion of population aged 0-14 years","16.1",""
"2000","Slovenia","Proportion of population aged 15-24 years","14.7",""
"2000","Slovenia","Proportion of population aged 25-44 years","30.6",""
"2000","Slovenia","Proportion of population aged 45-64 years","24.8",""
"2000","Slovenia","Proportion of population aged 65 years and more","13.9",""
"2000","Slovakia","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","45.4",""
"2000","Slovakia","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","77.0",""
"2000","Slovakia","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","65.3",""
"2000","Slovakia","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Slovakia","Proportion of population aged 0-14 years","19.8",""
"2000","Slovakia","Proportion of population aged 15-24 years","17.1",""
"2000","Slovakia","Proportion of population aged 25-44 years","29.6",""
"2000","Slovakia","Proportion of population aged 45-64 years","22.1",""
"2000","Slovakia","Proportion of population aged 65 years and more","11.4",""
"2000","Finland","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","49.4",""
"2000","Finland","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","80.2",""
"2000","Finland","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","65.3",""
"2000","Finland","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Finland","Proportion of population aged 0-14 years","18.2",""
"2000","Finland","Proportion of population aged 15-24 years","12.8",""
"2000","Finland","Proportion of population aged 25-44 years","27.6",""
"2000","Finland","Proportion of population aged 45-64 years","26.5",""
"2000","Finland","Proportion of population aged 65 years and more","14.8",""
"2000","Sweden","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)","55.8",""
"2000","Sweden","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)","86.4",""
"2000","Sweden","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)","70.9",""
"2000","Sweden","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","Sweden","Proportion of population aged 0-14 years","18.5",""
"2000","Sweden","Proportion of population aged 15-24 years","11.6",""
"2000","Sweden","Proportion of population aged 25-44 years","27.5",""
"2000","Sweden","Proportion of population aged 45-64 years","25.2",""
"2000","Sweden","Proportion of population aged 65 years and more","17.3",""
"2000","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Age dependency ratio, 1st variant (population aged 0-14 and 65 and more to pop. aged 15-64)",":","b"
"2000","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Age dependency ratio, 2nd variant (population aged 0-19 and 60 and more to pop. aged 20-59)",":","b"
"2000","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Age dependency ratio, 3rd variant (population aged 0-19 and 65 and more to pop. aged 20-64)",":",""
"2000","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Age dependency ratio, 4th variant (population aged 0-24 and 65 and more to pop. aged 25-64)",":",""
"2000","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Proportion of population aged 0-14 years",":","b"
"2000","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Proportion of population aged 15-24 years",":","b"
"2000","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Proportion of population aged 25-44 years",":","b"
